Rede,Nome Fantasia,Logradouro,Bairro,Cep,Uf,Municipio,Cnpj,Aberta,Latitude,Longitude
Casas Bahia,Americo Brasiliense,"Avenida Joaquim Afonso Da Costa, 454",Jardim Bela Vista,14820-270,SP,Américo Brasiliense,33041260177170,Sim,-21.729839,-48.1079525
Casas Bahia,Araraquara,"Rua 9 De Julho, 823",Centro,14801-295,SP,Araraquara,33041260122430,Sim,-21.7741085,-48.1799062
Casas Bahia,Araraquara 3,"Rua 9 De Julho, 559",Centro,14801-295,SP,Araraquara,33041260028255,Sim,-21.7741085,-48.1799062
Casas Bahia,Shopping Jaragua Fast Track,"Avenida Alberto Benassi, 2270",Jardim Bandeirantes,14804-300,SP,Araraquara,33041260176106,Não,-21.787704,-48.217148
Casas Bahia,Pederneiras 2,"Rua Coronel Coimbra, 158",Centro,17280-000,SP,Pederneiras,33041260180553,Sim,-22.3471,-48.7805
Casas Bahia,Barra Mansa,"Avenida Joaquim Leite, 290",Centro,27330-042,RJ,Barra Mansa,33041260079089,Sim,-22.5453503,-44.1700244
Casas Bahia,Retiro,"Avenida Savio Cota De Almeida Gama, 1749",Retiro,27281-422,RJ,Volta Redonda,33041260088827,Sim,-22.4974862,-44.1059827
Casas Bahia,Volta Redonda,"Rua Quatorze, 197",Vila Sta Cecilia,27259-170,RJ,Volta Redonda,33041260088746,Sim,-22.5422039,-44.065043
Casas Bahia,Itarare,"Rua Sao Pedro, 1535",Centro,18460-000,SP,Itararé,33041260181878,Sim,-24.056809,-49.324715
Casas Bahia,Paranaguá,"Rua Doutor Leocadio, 58",Centro Hist.,83203-270,PR,Paranaguá,33041260079755,Sim,-25.519085,-48.507561
Casas Bahia,Paranaguà 2,"Rua Quinze De Novembro, 281",Centro Hist.,83203-010,PR,Paranaguá,33041260047128,Não,-25.521576,-48.507371
Casas Bahia,Matão,"Rua Rui Barbosa, 1008",Centro,15990-030,SP,Matão,33041260122600,Sim,-21.602606,-48.36603
Casas Bahia,Shopping Bauru,"Rua Henrique Savi, 15",N.Cid.Univers.,17012-205,SP,Bauru,33041260117940,Sim,-22.3374308,-49.0538947
Casas Bahia,Shopping Boul Nacoes Bauru,"Rua General Marcondes Salgado, 1139",Vila Cardia,17013-231,SP,Bauru,33041260127580,Sim,-22.3151361,-49.0552358
Casas Bahia,Bauru,"Rua Primeiro De Agosto, 6",Centro,17010-010,SP,Bauru,33041260113953,Sim,-22.3215864,-49.0717674
