Rede,Nome Fantasia,Logradouro,Bairro,Cep,Ddd,Telefone,Uf,Municipio,Codigo Unidade,Cnpj,Latitude,Longitude
Yamaha,PICA PAU COMERCIO,AV SETE DE SETEMBRO  2020,PRINCESA ISABEL ,76964-006,069,3441-6000,RO,CACOAL,566,09601702000103,-11.4421188,-61.4450104
Yamaha,CENTRAL MOTOS,AV. CANAA  3105 QD 3 BL 1 LOTE 2-A,SETOR 03,76870-497,069,3535-5045,RO,ARIQUEMES,133,07592495000134,-9.9138262,-63.0255049
Yamaha,CASA DAS MOTOCICLETAS - SANTA CRUZ,PRACA PRESIDENTE KENNEDY  187,CENTRO,59200-000,084,3431-1834,RN,SANTA CRUZ,168,10293191000261,-6.219743,-36.024971
Yamaha,LFC MOTOS PARNA,AV. PILOTO PEREIRA TIM  2789,BR 101,59140-001,084,3272-2843,RN,PARNAMIRIM,129,05564361000265,-5.9060643,-35.2604426
Yamaha,LFC MOTOS,AV. BERNARDO VIEIRA  2216-B,DIX-SEPT ROSADO,59054-000,084,3613-0107,RN,NATAL,97,05564361000184,-5.807575,-35.2196266
Yamaha,SOLARES MOTOS,AV. DOUTOR JOAO MEDEIROS FILHO  1240,POTENGI,59108-550,084,32049250,RN,NATAL,306,22208833000185,-5.7636929,-35.253871
Yamaha,SOLARES MOTOS,AV. DOUTOR JOAO MEDEIROS FILHO  1240,POTENGI,59108-550,084,3204-9250,RN,NATAL,582,22208833000185,-5.7636929,-35.253871
Yamaha,CASA DAS MOTOCICLETAS,RUA JOAO ALFREDO  158,CENTRO,59380-000,084,3431-1834,RN,CURRAIS NOVOS,183,10293191000180,-6.262943,-36.5176957
Yamaha,WR MOTOS,R FELIPE CAMARAO  509,ALTO DA CONCEICAO,59600-340,084,3316-3760,RN,MOSSORO,33,01977357000197,-5.1937174,-37.3481366
Yamaha,SERIDO MOTOS,AV. CORONEL MARTINIANO  2142,PENEDO,59300-000,084,3421-3820,RN,CAICO,83,04653567000118,-6.459811,-37.099006
